상담일자,Dnis,Channel,소재,광고비,광고횟수,I/B콜수,응대호,정기건수,정기금액,일시건수,일시금액,응대율,콜전환율,정기전환율,CPR,ROI
2026-04-01,1899-0218,EBS,식사지원 은영이ver2," 1,430,000 ", 3 , 5 , 4 , 3 ," 60,000 ",,,60%,167%,100%,"187,723",1.02
2026-04-01,1899-0219,SPOTV,식사지원 지영이," 118,280 ", 2 , 1 ,,,,,,0%,0%,0%, - ,0
2026-04-01,1899-0519,SPOTV2,식사지원 사랑이," 171,875 ", 4 , 1 ,,,,,,100%,25%,100%,"165,414",1.45
2026-04-01,1899-0325,SPOTV G&H (SVC),식사지원 지영이, - , 3 , 1 ,,,,,,50%,40%,100%, - ,0
2026-04-01,1899-0762,JTBC4,식사지원 은영이ver2,"345,297", 10 , 1 , 1 , 1 ," 30,000 ",,,50%,20%,100%,"164,489",1.09
2026-04-01,1899-7318,JTBC4,가족돌봄 지수,"345,297", 10 , 2 , 1 ,,,,,75%,40%,67%,"82,245",1.46
2026-04-01,1899-7319,JTBC4,가족돌봄 선우,"241,708", 7 ,,,,,,,100%,14%,0%,"230,285",0
2026-04-01,1899-7325,JTBC4,식사지원 사랑이,"241,708", 7 ,,,,,,,100%,14%,100%,"230,285",1.56
2026-04-01,1899-7316,JTBC4,식사지원 준우_셰프,"241,708", 7 , 2 , 2 , 1 ," 20,000 ",,,100%,13%,100%,"263,182",0.91
2026-04-01,1899-0739,JTBC4,뇌병변 무준이ver2,"241,708", 7 , 1 , 1 , 1 ," 20,000 ",,,100%,25%,100%,"131,591",2.28
2026-04-01,1899-7326,JTBC2 (SVC),뇌병변 무준이ver2, - , 1 , 1 , 1 ,,, 1 ," 20,000 ",0%,50%,0%, - ,0
2026-04-01,1899-0776,라이프타임,가족돌봄 지수ver2," 175,939 ", 4 , 1 , 1 ,,,,,100%,25%,100%,"188,874",1.27
2026-04-01,1899-7314,히스토리 (SVC),식사지원 지영이, - , 7 ,,,,,,,100%,14%,0%, - ,0
2026-04-01,1899-5186,시네마천국,식사지원 지영이," 183,333 ", 8 , 2 , 2 , 1 ," 50,000 ",,,75%,50%,67%,"44,355",2.03
2026-04-01,-,기타 TV채널,-, - , - , 4 , 1 ,,,,,0%,0%,0%, - ,0
2026-04-01,2102-4590,발신,-, - , - , 1 ,,,,,,100%,0%,0%, - ,0
,,,,,,,,,,,,,,,,
